beginnerwoodworking active users	date	garageporn active users	somethingimade active users	toolporn active users	woodworking active users	woodworkingplans active users	woodworkingvideos active users	workbenches active users
242	2021-03-09 22:22:00.533264	19	413	44	3570	11	10	107
223	2021-03-09 22:37:02.243061	19	391	52	2721	11	5	107
196	2021-03-09 22:52:03.930424	19	277	54	2586	11	5	125
193	2021-03-09 23:07:05.558960	19	337	54	2407	10	5	125
174	2021-03-09 23:22:07.830822	19	271	54	2208	13	9	91
187	2021-03-09 23:37:09.467824	32	248	37	2196	11	8	87
184	2021-03-09 23:52:11.358230	32	265	51	2013	11	13	74
197	2021-03-10 00:07:13.174878	32	369	48	2025	18	10	93
197	2021-03-10 00:22:15.454634	32	309	48	1949	18	0	93
197	2021-03-10 00:37:17.015386	19	309	48	1875	9	4	63
197	2021-03-10 00:52:18.783394	17	246	48	1875	9	3	63
121	2021-03-10 01:07:20.528133	25	246	54	1875	9	3	63
121	2021-03-10 01:22:23.011619	10	246	54	1875	9	7	70
121	2021-03-10 01:37:24.802206	10	209	30	1875	9	5	70
115	2021-03-10 01:52:26.408324	18	147	30	1188	8	3	63
115	2021-03-10 02:07:27.992901	17	147	30	1188	8	3	63
103	2021-03-10 02:22:30.270492	17	225	37	1188	6	3	56
103	2021-03-10 02:37:31.890629	12	225	34	1322	9	3	56
103	2021-03-10 02:52:33.596844	12	225	29	1476	6	3	56
115	2021-03-10 03:07:35.246002	14	308	41	1476	6	3	56
121	2021-03-10 03:22:37.520488	11	287	74	1556	6	3	56
121	2021-03-10 03:37:39.326668	13	224	84	1485	9	3	56
121	2021-03-10 03:52:41.163102	13	224	84	1480	8	3	52
121	2021-03-10 04:07:42.770490	12	243	84	1513	10	3	52
121	2021-03-10 04:22:45.338632	14	204	35	1568	10	2	68
121	2021-03-10 04:37:47.115540	15	199	35	1804	10	2	67
143	2021-03-10 04:52:48.951912	12	199	39	1892	10	2	76
154	2021-03-10 05:07:50.840602	12	199	44	1909	10	8	94
205	2021-03-10 05:22:53.137324	12	199	49	1789	6	8	98
205	2021-03-10 05:37:55.055539	12	206	51	1947	10	20	98
205	2021-03-10 05:52:56.648595	22	306	45	1947	10	6	98
205	2021-03-10 06:07:58.760958	22	263	48	1947	14	7	101
205	2021-03-10 06:23:23.508409	22	306	48	1947	14	6	101
205	2021-03-10 06:38:25.217369	22	306	47	2598	14	6	101
205	2021-03-10 06:53:26.905221	16	306	47	2598	18	6	109
205	2021-03-10 07:08:28.690489	14	306	56	2636	23	6	109
319	2021-03-10 07:23:31.033949	14	270	51	2636	10	6	93
319	2021-03-10 07:38:32.867496	27	294	55	3111	11	10	100
319	2021-03-10 07:53:34.548366	27	294	72	3398	11	8	100
403	2021-03-10 08:08:36.352552	18	294	72	3398	7	3	100
311	2021-03-10 08:23:38.800125	18	317	72	3398	7	8	98
319	2021-03-10 08:38:40.628192	18	317	72	3517	7	8	150
319	2021-03-10 08:53:42.735850	18	317	72	3535	7	7	150
339	2021-03-10 09:08:44.520580	15	320	72	3330	7	5	161
324	2021-03-10 09:23:47.148840	15	320	106	3327	6	7	197
324	2021-03-10 09:38:48.832503	13	270	66	3331	10	3	197
324	2021-03-10 09:53:50.797959	13	233	66	3331	10	8	128
293	2021-03-10 10:08:52.587854	13	250	66	3631	10	11	134
272	2021-03-10 10:23:55.220165	34	250	66	3631	12	8	134
244	2021-03-10 10:38:57.138099	31	250	66	3631	12	8	106
268	2021-03-10 10:53:59.209389	30	250	73	3631	12	3	120
268	2021-03-10 11:09:00.933629	30	250	73	3631	12	3	100
268	2021-03-10 11:24:03.240314	18	208	73	3631	7	3	97
268	2021-03-10 11:39:05.112542	18	208	71	2959	18	4	117
268	2021-03-10 11:54:06.858101	25	224	63	2842	5	8	127
217	2021-03-10 12:09:08.758361	13	255	57	2928	14	7	118
213	2021-03-10 12:24:11.445344	13	293	70	2932	12	7	118
255	2021-03-10 12:39:13.189781	16	293	62	2932	4	7	118
299	2021-03-10 12:54:14.978685	13	293	75	2932	11	11	118
299	2021-03-10 13:09:16.857093	13	293	75	2932	15	7	123
299	2021-03-10 13:24:19.610499	24	262	75	2932	15	6	132
252	2021-03-10 13:39:21.550457	24	284	75	3153	13	7	120
275	2021-03-10 13:54:23.402184	15	289	75	3153	13	7	120
275	2021-03-10 14:09:25.436122	15	251	75	3220	12	7	94
241	2021-03-10 14:24:27.834228	22	260	75	3227	12	4	105
267	2021-03-10 14:39:29.645641	17	239	75	3399	12	9	122
296	2021-03-10 14:54:31.667184	12	239	64	4077	5	6	122
315	2021-03-10 15:09:33.441516	21	325	56	4077	11	4	137
315	2021-03-10 15:24:35.805634	13	270	75	3845	11	4	156
275	2021-03-10 15:39:37.608290	13	254	75	4031	11	4	137
281	2021-03-10 15:54:39.398740	13	274	75	4387	11	9	163
272	2021-03-10 16:09:41.302657	24	337	83	3976	11	9	163
309	2021-03-10 16:24:43.634609	8	351	83	4007	18	14	139
306	2021-03-10 16:39:45.456180	17	351	83	3976	18	9	131
277	2021-03-10 16:54:47.368021	15	305	83	3962	19	9	83
277	2021-03-10 17:09:49.211714	17	367	44	3862	19	9	76
301	2021-03-10 17:24:51.581581	17	348	44	3552	11	8	76
301	2021-03-10 17:39:53.489639	17	329	74	3552	9	12	126
292	2021-03-10 17:54:55.329744	23	388	93	3552	9	12	138
360	2021-03-10 18:09:57.112473	31	388	97	3552	13	6	168
345	2021-03-10 18:24:59.361629	45	388	88	4015	13	5	194
345	2021-03-10 18:40:01.315977	45	388	87	4015	13	5	193
349	2021-03-10 18:55:07.199356	45	388	87	4015	20	10	188
306	2021-03-10 19:10:08.936435	45	476	112	4015	20	10	174
306	2021-03-10 19:25:11.410072	60	476	164	3854	20	10	183
306	2021-03-10 19:40:13.137756	70	1553	184	3854	20	10	191
306	2021-03-10 19:55:14.902364	46	1289	183	3866	20	10	177
306	2021-03-10 20:10:16.583892	53	1616	159	3900	16	10	177
306	2021-03-10 20:25:18.963663	55	1421	159	3901	15	23	151
499	2021-03-10 20:40:20.746218	55	1421	159	4165	34	15	151
502	2021-03-10 20:55:22.686033	68	1421	159	4191	19	17	175
566	2021-03-10 21:10:24.495409	68	465	139	4191	11	13	166
566	2021-03-10 21:25:28.071709	53	438	139	3925	12	11	166
566	2021-03-10 21:40:29.833166	57	438	139	3574	12	7	166
566	2021-03-10 21:55:31.521779	57	438	139	3535	11	5	102
399	2021-03-10 22:10:33.379462	57	438	139	3540	9	8	92
350	2021-03-10 22:25:35.828156	57	438	139	3540	10	9	117
350	2021-03-10 22:40:37.569654	57	340	87	3291	8	11	128
242	2021-03-10 22:55:39.371995	30	346	70	2885	13	7	109
