beginnerwoodworking active users	date	garageporn active users	somethingimade active users	toolporn active users	woodworking active users	woodworkingplans active users	woodworkingvideos active users	workbenches active users
169	2021-04-24 04:04:42.138113	12	185	32	2176	12	5	43
166	2021-04-24 05:04:44.442601	12	209	60	2785	20	7	37
170	2021-04-24 06:04:46.756088	19	253	52	3373	21	11	101
250	2021-04-24 07:04:49.256091	17	297	77	3379	35	5	123
232	2021-04-24 08:04:51.761402	19	305	82	3909	39	12	128
354	2021-04-24 09:04:54.207239	35	380	85	4279	26	11	124
415	2021-04-24 10:04:56.486121	16	364	91	3459	32	13	104
399	2021-04-24 11:04:59.054559	21	289	84	3733	20	11	96
311	2021-04-24 12:05:02.506085	45	237	82	3848	18	2	119
375	2021-04-24 13:05:04.856473	32	240	129	3776	15	6	134
405	2021-04-24 14:05:07.156714	35	300	102	3811	17	6	129
409	2021-04-24 15:05:09.694300	34	320	117	4049	13	4	152
380	2021-04-24 16:05:12.019529	40	293	117	3698	16	5	148
331	2021-04-24 17:05:14.616145	28	240	110	3898	16	5	99
431	2021-04-24 18:05:17.391814	33	240	104	3524	24	6	123
417	2021-04-24 19:05:19.666123	26	208	97	3317	29	12	138
508	2021-04-24 20:05:22.331389	63	262	183	3477	25	11	160
480	2021-04-24 21:05:24.904731	45	250	140	3864	30	5	140
451	2021-04-24 22:05:27.424350	42	284	147	3139	17	5	95
334	2021-04-24 23:05:29.849970	28	355	132	2974	21	19	100
348	2021-04-25 00:05:32.027555	33	280	121	2885	9	8	86
381	2021-04-25 01:05:34.551697	36	271	127	2844	14	7	66
267	2021-04-25 02:05:36.883612	78	278	75	2783	15	8	70
183	2021-04-25 03:05:39.256240	14	294	65	2578	4	8	54
167	2021-04-25 04:05:41.457972	21	149	81	2048	12	15	58
221	2021-04-25 05:05:44.088677	19	172	88	2023	9	9	54
238	2021-04-25 06:05:46.488888	21	187	114	2524	21	6	74
228	2021-04-25 07:05:48.761839	33	176	111	2838	11	12	84
228	2021-04-25 08:05:51.232041	29	242	131	3564	18	8	106
279	2021-04-25 09:05:53.496088	52	280	169	4303	24	24	83
313	2021-04-25 10:05:55.751341	30	383	166	5449	12	17	76
401	2021-04-25 11:05:58.155186	49	323	174	5044	21	6	110
401	2021-04-25 12:06:00.773673	39	306	107	4705	16	15	127
589	2021-04-25 13:06:03.043891	38	298	115	5035	8	7	98
473	2021-04-25 14:06:05.362102	36	236	80	4603	12	9	109
512	2021-04-25 15:06:07.681677	45	246	98	4151	20	13	112
367	2021-04-25 16:06:10.090724	40	227	104	3579	15	9	108
447	2021-04-25 17:06:12.401860	34	226	106	3325	14	6	108
332	2021-04-25 18:06:14.880945	24	270	136	3318	7	10	121
446	2021-04-25 19:06:17.355396	66	234	183	3237	14	10	113
428	2021-04-25 20:06:20.000090	70	208	209	3253	5	7	131
323	2021-04-25 21:06:22.450759	55	185	149	3352	16	7	141
258	2021-04-25 22:06:24.669840	48	291	93	3151	17	8	106
214	2021-04-25 23:06:26.854782	44	184	111	2625	8	9	93
208	2021-04-26 00:06:29.216430	37	167	73	2463	3	9	79
167	2021-04-26 01:06:31.739883	22	173	59	2028	10	5	90
176	2021-04-26 02:06:34.024641	31	193	61	1890	18	6	67
128	2021-04-26 03:06:36.498649	20	161	47	1709	3	5	49
128	2021-04-26 04:06:38.938051	20	133	48	1943	13	28	46
256	2021-04-26 05:06:41.288268	27	152	108	2616	11	8	60
324	2021-04-26 06:06:43.595743	24	199	91	2945	4	2	68
331	2021-04-26 07:06:45.869527	42	234	90	3060	9	10	102
343	2021-04-26 08:06:48.266729	38	255	104	3185	9	6	102
407	2021-04-26 09:06:50.822952	43	213	82	3215	14	13	156
372	2021-04-26 10:06:53.375726	69	210	67	3225	8	13	112
329	2021-04-26 11:06:55.813972	47	280	63	3225	11	2	105
319	2021-04-26 12:06:58.335180	31	251	74	3022	10	9	117
309	2021-04-26 13:07:00.911955	44	239	74	3160	8	7	115
296	2021-04-26 14:07:03.295862	33	264	57	3160	11	9	109
305	2021-04-26 15:07:05.756245	46	300	71	3888	19	7	133
284	2021-04-26 16:07:08.216237	44	320	55	3923	13	7	93
351	2021-04-26 17:07:10.536229	42	273	87	3771	7	11	99
363	2021-04-26 18:07:13.043385	52	239	96	4329	11	7	101
296	2021-04-26 19:07:15.777981	89	271	97	4630	11	3	108
321	2021-04-26 20:07:18.240628	50	260	102	4013	11	7	97
333	2021-04-26 21:07:20.948844	72	285	71	3886	13	4	108
321	2021-04-26 22:07:23.256086	46	285	76	3257	10	5	82
300	2021-04-26 23:07:25.634512	47	223	79	3047	9	5	63
257	2021-04-27 00:07:27.919005	25	223	43	3275	9	9	65
179	2021-04-27 01:07:30.221929	14	181	39	2156	7	4	40
172	2021-04-27 02:07:32.567912	15	137	34	1927	6	5	57
150	2021-04-27 03:07:34.858655	15	114	36	1815	5	10	42
139	2021-04-27 04:07:37.093398	25	142	50	1957	5	0	54
184	2021-04-27 05:07:39.391561	29	151	39	2619	1	5	41
304	2021-04-27 06:07:41.737079	46	169	85	2950	11	6	76
293	2021-04-27 07:07:44.136009	54	276	63	3335	3	32	52
252	2021-04-27 08:07:46.451357	85	283	77	3317	13	11	72
256	2021-04-27 09:07:48.946102	38	263	100	2505	18	12	60
267	2021-04-27 10:07:51.487655	65	276	69	2806	12	17	78
348	2021-04-27 11:07:53.831815	39	271	73	2605	10	17	78
335	2021-04-27 12:07:56.256245	65	312	68	2430	11	8	89
321	2021-04-27 13:07:58.523670	35	291	60	2731	7	10	84
233	2021-04-27 14:08:01.060285	39	276	57	2727	9	10	98
242	2021-04-27 15:08:03.473863	40	277	67	3173	8	5	90
286	2021-04-27 16:08:05.877876	41	281	74	3118	4	5	82
320	2021-04-27 17:08:08.413634	28	241	69	3427	13	7	78
358	2021-04-27 18:08:10.936778	29	220	78	3393	18	3	128
361	2021-04-27 19:08:13.364680	36	239	99	3610	18	9	147
506	2021-04-27 20:08:15.756244	49	250	87	3623	14	6	134
355	2021-04-27 21:08:18.450694	35	253	72	3779	15	6	126
295	2021-04-27 22:08:21.226114	29	274	51	3314	8	8	94
229	2021-04-27 23:08:23.596209	20	219	68	3239	8	6	81
212	2021-04-28 00:08:26.032244	20	227	58	2389	12	5	67
158	2021-04-28 01:08:28.636607	20	187	49	2143	8	12	65
161	2021-04-28 02:08:31.092074	14	187	53	1893	2	2	53
123	2021-04-28 03:08:33.506086	20	187	42	1893	7	6	48
163	2021-04-28 04:08:36.136089	12	174	51	1860	3	5	29
157	2021-04-28 05:08:39.083762	35	178	50	2164	2	18	60
202	2021-04-28 06:08:41.494148	44	277	71	2942	11	10	78
204	2021-04-28 07:08:43.883223	36	299	55	3077	7	10	78
251	2021-04-28 08:08:46.684287	36	285	55	3470	5	2	57
263	2021-04-28 09:08:49.299102	38	312	63	3171	18	4	81
372	2021-04-28 10:08:51.807749	39	260	41	3425	12	2	80
324	2021-04-28 11:08:54.296092	65	300	57	3654	19	6	96
297	2021-04-28 12:08:57.445890	33	250	74	3291	12	8	55
305	2021-04-28 13:08:59.826084	37	273	91	3153	7	5	83
498	2021-04-28 14:09:02.700150	30	299	96	3430	10	8	84
474	2021-04-28 15:09:05.168104	30	308	96	3670	16	10	67
426	2021-04-28 16:09:07.538392	31	324	123	3573	7	6	106
353	2021-04-28 17:09:10.306382	65	277	105	2963	9	4	92
357	2021-04-28 18:09:12.560932	42	303	81	2886	16	8	80
412	2021-04-28 19:09:14.739402	25	295	83	2765	12	8	87
423	2021-04-28 20:09:17.139054	49	276	113	2906	12	10	130
351	2021-04-28 21:09:19.706057	37	327	102	2898	14	21	87
264	2021-04-28 22:09:21.945514	42	237	84	2542	9	9	66
250	2021-04-28 23:09:24.151618	25	243	103	2121	14	4	74
268	2021-04-29 00:09:26.491043	34	190	106	2016	8	7	60
268	2021-04-29 01:09:28.886110	18	200	61	1689	11	1	32
141	2021-04-29 02:09:31.237674	26	180	61	1689	6	2	41
155	2021-04-29 03:09:33.506080	19	160	56	1678	6	93	45
169	2021-04-29 04:09:35.681788	15	222	42	1891	16	3	56
189	2021-04-29 05:09:38.181891	28	212	65	2287	6	11	81
213	2021-04-29 06:09:40.413935	38	269	59	2611	8	13	84
275	2021-04-29 07:09:42.819453	23	254	76	3257	8	38	74
327	2021-04-29 08:09:45.100968	23	234	75	2607	9	33	85
278	2021-04-29 09:09:47.482488	16	292	80	2776	9	10	83
310	2021-04-29 10:09:50.048907	35	355	80	3527	9	3	62
313	2021-04-29 11:09:52.325362	27	309	80	3330	10	7	85
247	2021-04-29 12:09:54.732529	24	276	79	2659	9	5	66
286	2021-04-29 13:09:57.112772	25	193	111	2716	13	5	119
223	2021-04-29 14:09:59.469144	23	228	76	2958	9	4	119
259	2021-04-29 15:10:07.006101	45	221	72	3435	9	8	158
259	2021-04-29 16:10:09.749224	40	235	96	3425	13	2	104
